96	6090	5	1480603452
96	5461	3	1480603468
96	5426	4	1480603491
96	4942	4	1480603561
94	6090	4.5	1480603772
94	5461	1	1480603772
94	5426	2	1480603772
94	4942	3	1480603772
94	5290	3	1480603852
97	6090	4.5	1480603909
97	5461	3	1480603909
97	5426	4	1480603909
97	4942	3	1480603909
97	5290	5	1480603909
98	6090	3	1480604012
98	5461	3	1480604012
98	5426	1	1480604012
98	4942	5	1480604012
98	5290	4	1480604012
91	6090	1	1480604097
91	5461	5	1480604097
91	5426	5	1480604097
91	4942	2	1480604097
91	5290	1	1480604097
94	6090	4.5	1480614419
94	5143	4	1480669493
94	5146	4.5	1480671672
96	6091	4.5	1480680828
94	5046	4.5	1480701793
2	6091	4	1480947167
2	5144	4.5	1480947731
2	6088	3	1480947883
2	4977	4	1480947956
2	4951	4	1480948075
2	5290	4.5	1480948162
2	5378	3	1480948264
2	4968	3.5	1480948372
3	4965	5	1480948563
3	4964	3.5	1480948623
3	4963	4	1480948673
3	4955	4.5	1480948792
3	5266	4.5	1480949060
3	5018	4	1480949279
3	5244	4	1480949591
3	5235	4	1480950068
3	5228	4.5	1480950376
16	5227	4	1480951118
2	5289	3	1481040281
2	5288	2	1481040976
16	5200	4	1481041633
16	5020	4.5	1481041681
16	5048	1	1481041732
16	5881	5	1481041768
16	5574	3	1481041796
16	5392	4	1481041828
16	4955	4.55	1481041959
16	4944	2.5	1481042043
18	5683	4	1481043712
18	5686	3	1481043712
18	5592	4	1481043712
18	5582	4.5	1481043712
18	5529	5	1481043712
18	5528	3	1481043712
18	4953	4.5	1481043712
18	5378	5	1481043712
18	5388	3.5	1481043712
18	4964	1.5	1481043712
95	5622	2.5	1481044593
22	5526	3	1481044593
98	5838	3.5	1481044593
55	5959	5	1481044593
91	5856	1	1481044594
75	5920	4	1481044717
75	5223	2.5	1481044717
95	4987	1.5	1481044718
66	5442	5	1481044718
57	5968	4	1481044718
59	5357	3.5	1481044718
74	5738	1	1481044718
95	5722	2	1481044718
65	5645	3	1481044719
49	5518	4	1481044719
57	5159	4	1481044719
77	4959	5	1481044719
70	5419	3.5	1481044720
96	5821	1	1481044720
22	5833	2	1481044720
77	5665	4	1481044720
91	6082	1.5	1481044720
70	5471	0.5	1481044720
57	6022	4	1481044721
77	5353	1.5	1481044721
74	5929	3.5	1481044721
59	5558	1	1481044721
97	5197	3	1481044721
100	5839	4	1481044722
98	6078	3.5	1481044722
98	5035	4.5	1481044722
101	6065	3.5	1481044722
71	5971	2.5	1481044722
92	5500	4	1481044722
29	5750	2.5	1481044723
26	5175	4.5	1481044723
98	5381	2	1481044723
58	5413	4	1481044723
67	5194	4	1481044724
58	5106	4	1481044724
70	5492	3	1481044724
96	5334	1.5	1481044724
66	6021	3.5	1481044724
100	5637	0.5	1481044724
26	5281	3	1481044725
74	5433	4	1481044725
75	5049	4.5	1481044725
76	6023	0.5	1481044725
89	5357	3.5	1481044726
94	5002	3.5	1481044726
92	5965	1.5	1481044726
22	5698	1.5	1481044726
66	5171	1.5	1481044726
59	5143	3.5	1481044727
94	5151	5	1481044727
49	5293	1	1481044727
94	5218	4.5	1481044727
26	6073	3.5	1481044727
74	5963	4.5	1481044728
101	5527	1	1481044728
97	5670	3.5	1481044728
91	4996	1.5	1481044728
77	5794	0.5	1481044728
58	5258	1	1481044729
98	5597	1.5	1481044729
92	5170	4.5	1481044729
26	5041	3	1481044729
95	5512	5	1481044730
98	5817	3.5	1481044730
92	5694	2.5	1481044730
89	5392	2	1481044730
75	4989	2	1481044730
49	5016	0.5	1481044731
75	5785	2.5	1481044731
101	5091	3	1481044731
69	5733	1	1481044731
89	5359	4	1481044731
69	4983	5	1481044732
49	5688	0.5	1481044732
64	5710	4.5	1481044732
29	5530	4.5	1481044732
97	5612	3	1481044732
74	5882	2	1481044733
49	5997	3.5	1481044733
66	5820	2.5	1481044733
66	5028	4.5	1481044733
29	5404	2.5	1481044733
59	5603	0.5	1481044734
66	5738	1.5	1481044734
67	5460	2.5	1481044734
69	5311	4.5	1481044734
57	5255	2.5	1481044735
74	5614	0.5	1481044735
96	4968	4.5	1481044735
69	5837	3	1481044735
64	5128	0.5	1481044735
75	5440	4	1481044736
59	5201	1.5	1481044736
100	5323	4.5	1481044736
98	5893	3	1481044736
66	5269	1	1481044737
76	5992	4	1481044737
71	5864	1	1481044737
71	4949	4.5	1481044737
66	5815	1.5	1481044737
95	5635	4.5	1481044738
71	5537	0.5	1481044738
22	5178	4.5	1481044738
29	5771	1	1481044738
100	5654	1.5	1481044738
94	5722	3.5	1481044739
92	5602	3	1481044739
96	5848	4.5	1481044739
66	5909	4	1481044739
69	5971	0.5	1481044740
70	6001	4.5	1481044740
92	4951	1	1481044740
64	6073	2	1481044740
29	5466	2	1481044740
57	5237	3	1481044741
57	5566	3	1481044741
66	5985	4	1481044741
57	5146	3.5	1481044741
95	5774	5	1481044741
89	6075	1	1481044742
65	5260	3	1481044742
94	5876	3.5	1481044742
